a,b,zip_code,d,name,f,canton,h,I,j,k,l,m
104,20,1000,0,Lausanne,Lausanne,VD,2,,0,130,5586,19880301
105,80,1000,1,Lausanne 1 Dépôt,Lausanne 1 Dépôt,VD,2,,0,130,5586,20050401
106,80,1000,2,Lausanne 2,Lausanne 2,VD,2,,0,130,5586,20080101
107,30,1000,3,Lausanne 3,Lausanne 3,VD,2,,0,107,5586,19860521
110,30,1000,6,Lausanne 6,Lausanne 6,VD,2,,0,110,5586,19930210
111,30,1000,7,Lausanne 7,Lausanne 7,VD,2,,0,111,5586,19930928
112,30,1000,8,Lausanne 8,Lausanne 8,VD,2,,0,112,5586,19970520
114,30,1000,12,Lausanne 12,Lausanne 12,VD,2,,0,114,5586,19940621
116,30,1000,14,Lausanne 14,Lausanne 14,VD,2,,0,116,5586,19920210
117,30,1000,16,Lausanne 16,Lausanne 16,VD,2,,0,117,5586,19860521
118,80,1000,17,Lausanne 17,Lausanne 17,VD,2,,0,118,5586,20060601
119,80,1000,19,Lausanne 19,Lausanne 19,VD,2,,0,119,5586,20040501
120,30,1000,20,Lausanne 20,Lausanne 20,VD,2,,0,120,5586,19930906
121,30,1000,21,Lausanne 21,Lausanne 21,VD,2,,0,121,5586,19860521
122,30,1000,22,Lausanne 22,Lausanne 22,VD,2,,0,122,5586,19860521
123,30,1000,23,Lausanne 23,Lausanne 23,VD,2,,0,123,5586,19910627
124,80,1000,24,Lausanne 24,Lausanne 24 Vennes,VD,2,,0,124,5586,20060601
125,20,1000,25,Lausanne 25,Lausanne 25,VD,2,,1,7496,5586,20121001
126,10,1000,26,Lausanne 26,Lausanne 26,VD,2,,1,126,5586,19860521
127,20,1000,27,Lausanne 27,Lausanne 27,VD,2,,1,126,5586,19970728
130,80,1000,60,Lausanne Dist,Lausanne Distribution,VD,2,,0,130,5586,19980318
132,40,1000,65,Lausanne Swisscom,Lausanne Swisscom,VD,2,,0,122,5586,20030501
145,30,1001,1,Lausanne,Lausanne,VD,2,,0,145,5586,19980318
149,30,1002,0,Lausanne,Lausanne,VD,2,,0,149,5586,19991025
150,20,1003,0,Lausanne,Lausanne,VD,2,,1,130,5586,19860521
151,20,1004,0,Lausanne,Lausanne,VD,2,,1,130,5586,19860521
152,20,1005,0,Lausanne,Lausanne,VD,2,,1,130,5586,19860521
153,20,1006,0,Lausanne,Lausanne,VD,2,,1,130,5586,19860521
154,20,1007,0,Lausanne,Lausanne,VD,2,,1,130,5586,19860521
156,10,1008,0,Prilly,Prilly,VD,2,,1,130,5589,19960610
157,10,1009,0,Pully,Pully,VD,2,,1,130,5590,19960610
158,20,1010,0,Lausanne,Lausanne,VD,2,,1,130,5586,20120601
159,20,1011,0,Lausanne,Lausanne,VD,2,,1,159,5586,20090401
160,20,1012,0,Lausanne,Lausanne,VD,2,,1,130,5586,19860521
162,40,1014,0,Lausanne Adm cant,Lausanne Adm cant VD,VD,2,,0,130,5586,20100301
163,10,1015,0,Lausanne,Lausanne,VD,2,,1,130,5635,20040401
164,20,1018,0,Lausanne,Lausanne,VD,2,,1,130,5586,20120601
165,20,1020,0,Renens VD,Renens VD,VD,2,,1,7248,5591,19911203
166,30,1020,1,Renens VD 1,Renens VD 1,VD,2,,0,166,5591,19960610
167,30,1020,2,Renens VD 2,Renens VD 2,VD,2,,0,167,5591,19960610
168,10,1022,0,Chavannes-Renens,Chavannes-près-Renens,VD,2,,1,7248,5627,19960610
169,20,1023,0,Crissier,Crissier,VD,2,,1,7172,5583,20010912
170,10,1024,0,Ecublens VD,Ecublens VD,VD,2,,1,7172,5635,19860521
171,10,1025,0,St-Sulpice VD,St-Sulpice VD,VD,2,,1,7248,5648,19860521
173,30,1026,0,Echandens-Denges,Echandens-Denges,VD,2,,0,173,5633,20050301
174,10,1027,0,Lonay,Lonay,VD,2,,1,6256,5638,19930427
175,10,1028,0,Préverenges,Préverenges,VD,2,,1,6256,5643,19860521
178,10,1030,0,Bussigny-Lausanne,Bussigny-près-Lausanne,VD,2,,1,7171,5624,19890308
179,10,1032,0,Romanel-s-Lausanne,Romanel-sur-Lausanne,VD,2,,1,7497,5592,19990908
180,10,1033,0,Cheseaux-Lausanne,Cheseaux-sur-Lausanne,VD,2,,1,7497,5582,19890329
182,10,1037,0,Etagnières,Etagnières,VD,2,,1,7497,5521,20080701
183,10,1038,0,Bercher,Bercher,VD,2,,0,183,5512,19860521
185,10,1040,0,Echallens,Echallens,VD,2,,1,7670,5518,19960806
191,20,1040,3,St-Barthélemy VD,St-Barthélemy VD,VD,2,,0,7670,5535,20021101
192,20,1377,0,Oulens-Echallens,Oulens-sous-Echallens,VD,2,,0,7670,5529,20021101
193,20,1042,4,Bettens,Bettens,VD,2,,0,208,5471,20010906
194,20,1040,2,Villars-le-Terroir,Villars-le-Terroir,VD,2,,1,7670,5537,19991209
195,20,1417,2,Epautheyres,Epautheyres,VD,2,,0,6257,5520,19900501
196,20,1041,21,Dommartin,Dommartin,VD,2,,1,7670,5540,20090201
197,20,1063,4,Peyres-Possens,Peyres-Possens,VD,2,,0,7661,5693,20010813
198,20,1063,3,Boulens,Boulens,VD,2,,0,7661,5661,20010813
199,10,1041,31,Poliez-le-Grand,Poliez-le-Grand,VD,2,,0,7670,5540,19960806
200,20,1041,32,Poliez-Pittet,Poliez-Pittet,VD,2,,0,7670,5533,20021101
201,20,1041,33,Bottens,Bottens,VD,2,,0,7670,5514,20051001
202,20,1053,2,Bretigny-Morrens,Bretigny-sur-Morrens,VD,2,,0,7650,5515,20020201
205,20,1034,0,Boussens,Boussens,VD,2,,1,7171,5473,20080701
206,20,1035,0,Bournens,Bournens,VD,2,,1,7171,5472,20080701
207,10,1036,0,Sullens,Sullens,VD,2,,1,7171,5501,20020401
208,10,1042,0,Assens,Assens,VD,2,,0,208,5511,19960806
209,20,1043,0,Sugnens,Sugnens,VD,2,,0,7670,5540,20051001
210,20,1044,0,Fey,Fey,VD,2,,0,183,5522,20061201
211,20,1045,0,Ogens,Ogens,VD,2,,0,183,5680,20020201
212,20,1407,4,Bioley-Magnoux,Bioley-Magnoux,VD,2,,0,6257,5903,20000601
213,20,1042,3,Bioley-Orjulaz,Bioley-Orjulaz,VD,2,,0,208,5513,20021201
214,10,1052,0,Mont-sur-Lausanne,Le Mont-sur-Lausanne,VD,2,,1,7650,5587,19860521
215,10,1053,0,Cugy VD,Cugy VD,VD,2,,1,7650,5516,19920427
216,10,1054,0,Morrens VD,Morrens VD,VD,2,,0,7497,5527,19860521
217,10,1055,0,Froideville,Froideville,VD,2,,0,217,5523,19860521
219,10,1410,0,Thierrens,Thierrens,VD,2,,0,6257,5693,19890601
221,10,1066,0,Epalinges,Epalinges,VD,2,,1,7496,5584,19981019
