id,people,seconds
1,0,0.0
2,74,0.7
4,67,1.1
5,14,0.9
6,12,0.3
7,9,0.3
8,27,0.3
9,17,0.4
10,3,0.2
11,3,0.2
12,4,0.3
13,1,0.2
14,12,0.3
15,2,0.2
16,92535,6.9
17,623,21.0
19,18,0.2
20,50,0.4
21,34,0.4
33,28,0.2
35,17,0.9
36,34,0.5
37,291,0.6
39,0,0.0
40,214,1.1
42,93,0.3
46,112,1.0
50,35,0.4
51,213,1.6
55,19,2.7
57,27,0.5
58,17,0.5
59,28,0.4
60,17,0.4
61,15,0.3
62,16,0.4
64,5,0.7
66,57,0.5
67,77,0.8
70,1,0.4
74,38,0.6
77,12,0.4
78,39,2.8
82,285,2.2
86,42,0.4
87,103,0.6
88,36,0.3
90,41,0.6
91,3,0.5
92,33,0.7
93,20,0.5
98,2,0.2
99,4,0.3
100,2,0.2
102,2,0.3
104,2,0.2
105,2,0.3
106,0,0.2
107,2,0.3
108,6,0.3
109,6,0.2
110,7,0.2
111,2,0.2
112,6,0.3
113,2,0.3
116,499,5.9
117,142,2.7
118,32,0.3
119,50,0.5
122,4,0.2
124,18,0.6
125,638,1.2
127,21,0.8
129,24,0.8
132,40,0.3
133,22,1.1
134,55,1.1
136,6,0.2
138,2,0.1
139,136,2.0
140,4,0.4
141,114,2.4
142,113,1.3
143,10,0.8
144,19,0.4
147,54,1.7
154,31,0.3
156,41,0.3
157,7,0.1
164,23,1.3
167,5,0.3
172,29,0.3
173,30,1.2
176,251,2.5
177,75,2.8
178,38,1.5
179,9,0.7
180,15,0.3
181,5,0.4
182,4,0.4
183,16,0.7
185,10,0.5
186,9,0.2
188,45,0.4
189,34,2.0
190,43,0.9
195,8,0.3
196,8,0.3
197,2,0.2
198,25,1.0
199,5,0.1
200,134,0.2
202,44,0.4
203,148,0.5
204,141,0.5
205,71,0.4
206,508,1.6
207,8,0.2
208,8,0.2
209,4,0.2
210,4,0.2
212,1057,2.5
213,17,1.1
215,3,0.1
216,55,0.8
218,1,0.3
220,30,0.6
222,34,1.1
223,36,0.5
224,56,0.5
226,3,0.1
236,32,0.6
244,145,0.3
251,20,1.9
252,134,3.8
253,54,1.8
254,17,1.8
255,33,1.8
258,2,0.3
259,38,0.3
263,6,0.4
265,88,2.5
270,6,0.3
277,9,0.2
279,21,0.7
280,2,0.3
284,7,0.4
293,8,0.1
294,10,0.3
296,245,1.4
298,1231,2.4
301,0,0.0
302,67,1.1
304,0,0.0
305,60,1.0
306,151,0.6
310,9,0.3
311,0,0.1
312,9,0.4
313,0,0.0
320,2,0.3
324,9,0.2
325,20,0.4
326,42,1.7
327,175,1.1
328,2,0.2
329,48,0.3
330,57829,2.8
336,2,0.1
337,0,0.1
338,19,0.5
339,0,0.1
340,3,0.1
341,0,0.1
342,1,0.1
343,1,0.4
345,1,0.1
346,0,0.2
347,0,0.1
348,0,0.1
349,0,0.2
350,0,0.2
351,0,0.2
352,0,0.2
353,0,0.2
354,0,0.2
355,0,0.2
356,0,0.2
357,1,0.2
358,4,0.2
359,1,0.2
360,144,2.1
361,16,0.8
363,68,0.4
364,61,0.4
365,36,0.4
366,33,0.3
369,0,0.0
370,0,0.4
371,25,0.4
372,11,0.2
373,14,0.2
374,6,0.2
375,7,0.2
376,5,0.2
377,6,0.2
378,0,0.1
379,0,0.2
380,0,0.1
381,1,0.1
382,1,0.2
383,2,0.2
384,2,0.2
385,1,0.2
386,1,0.2
387,1,0.2
389,0,0.2
390,110,0.5
391,240,0.3
394,0,0.0
395,1,0.3
397,197,2.8
398,56,1.5
399,24,0.4
401,18,0.5
402,16,0.5
403,1,0.5
404,39,0.6
405,29,0.5
406,12,0.3
407,0,0.1
411,6,0.3
412,51,0.1
413,14,0.1
414,2,0.3
415,2,0.3
416,14,0.1
417,4,0.3
418,23,0.3
419,7,0.3
420,14,0.5
421,23,0.2
422,37,0.3
423,7,0.3
424,23,0.2
425,11,0.2
426,0,0.3
427,0,0.3
428,12,0.2
429,13,0.2
430,9,0.3
431,6,0.2
432,0,0.3
433,7,0.2
434,0,0.3
437,36,0.2
438,29,0.6
439,5,0.3
440,14,0.2
441,0,0.3
442,0,0.2
443,10,0.2
444,2,0.2
449,33,0.9
450,1,0.3
451,47,0.1
452,11,0.3
454,2,0.1
458,0,0.1
460,2,0.1
461,3,0.2
463,27,1.2
464,6,0.8
470,28,0.2
471,1,0.1
474,120,1.1
475,64,0.3
478,18,0.2
479,101,1.7
480,2,0.1
482,39,0.6
483,31,0.4
484,67,0.5
485,0,0.0
486,75,0.4
487,1,0.3
490,37,0.4
494,35,0.1
495,76,0.2
505,42,0.1
506,35,0.1
507,9,0.3
508,13,0.3
509,35,0.3
510,27,0.4
513,237,0.6
515,62,0.2
516,64,0.2
517,24,0.2
518,210,0.8
519,21,0.2
520,36,2.1
521,46,0.3
529,7,0.3
532,12,0.7
533,4,0.1
534,28,0.5
539,10,0.4
540,145,1.4
541,8,0.2
542,17,0.2
543,0,0.1
544,3,0.3
547,7,0.2
550,125,2.6
551,5,0.5
558,9,0.1
559,36,1.2
560,80,0.5
561,78,0.5
562,49,0.6
563,35,0.5
564,27,0.4
565,12,0.4
566,28,0.4
567,28,0.3
571,1,0.1
572,3,0.2
573,40,0.5
574,6,0.1
576,2,0.6
578,3,0.2
579,1,0.1
580,31,0.4
581,15,0.4
586,100,7.4
588,22,0.1
589,19,0.1
591,30,0.1
593,14,1.0
597,3,0.1
598,15,0.2
601,6,0.3
602,13,0.8
604,38,1.0
605,35,0.6
611,16,0.5
612,116,0.8
613,4,0.3
614,197,0.1
616,2,0.3
617,0,0.0
619,58,0.3
